year;title;publication_name;issn
2020;A microservice-driven collaborative agent in virtual learning environments: A role model for a tracing agent;PervasiveHealth: Pervasive Computing Technologies for Healthcare;21531633
2020;An approach to assess the existence of a proposed intervention in essay-argumentative texts;ICEIS 2020 - Proceedings of the 22nd International Conference on Enterprise Information Systems;-
2020;An adaptive system architecture model for the study of logic and programming with learning paths;ICEIS 2020 - Proceedings of the 22nd International Conference on Enterprise Information Systems;-
2020;Collaborative agents in adaptative VLEs: Towards an interface agent for interactivity and decision-making improvement;ICEIS 2020 - Proceedings of the 22nd International Conference on Enterprise Information Systems;-
2019;Towards an extensible architecture for ideation;Procedia Computer Science;-
2019;Imbalanced learning techniques for improving the performance of statistical models in automated essay scoring;Procedia Computer Science;-
2019;An evaluation model for dynamic motivational analysis;ICEIS 2019 - Proceedings of the 21st International Conference on Enterprise Information Systems;-
2019;Improving decision-making in virtual learning environments using a tracing tutor agent;ICEIS 2019 - Proceedings of the 21st International Conference on Enterprise Information Systems;-
2018;An approach to evaluate adherence to the theme and the argumentative structure of essays;Procedia Computer Science;-
2018;Offline speech recognition development: A systematic review of the literature;ICEIS 2018 - Proceedings of the 20th International Conference on Enterprise Information Systems;-
