year;title;publication_name;issn
2020;Evaluating the CCSDS 123 Compressor Running on RISC-V and ARM Architectures;Brazilian Symposium on Computing System Engineering, SBESC;23247886
2020;Hybrid impedance-admittance control for upper limb exoskeleton using electromyography;Applied Sciences (Switzerland);-
2020;PRIPRO—privacy profiles: User profiling management for smart environments;Electronics (Switzerland);-
2020;A Hardware Accelerator for the Segmentation of Hyperspectral Images;Proceedings - 33rd Symposium on Integrated Circuits and Systems Design, SBCCI 2020;-
2020;A Solution for Dynamic Management of User Profiles in IoT Environments;IEEE Latin America Transactions;-
2020;An efficient interface for the integration of iot devices with smart grids;Sensors (Switzerland);14248220
2020;A Low-Cost Fault-Tolerant RISC-V Processor for Space Systems;Proceedings - 2020 15th IEEE International Conference on Design and Technology of Integrated Systems in Nanoscale Era, DTIS 2020;-
2019;Maximizing the inner resilience of a network-on-chip through router controllers design;Sensors (Switzerland);14248220
2019;Experimental data from the simulation of on-chip communication architectures using RedScarf simulation environment;Data in Brief;-
2019;An Architecture for Delivering Graphical Web Applications in Constrained IoT Devices;Brazilian Symposium on Computing System Engineering, SBESC;23247886
2019;RedScarf: an open-source multi-platform simulation environment for performance evaluation of Networks-on-Chip;Journal of Systems Architecture;13837621
2019;A custom processor for an FPGA-based platform for automatic license plate recognition;Proceedings - 32nd Symposium on Integrated Circuits and Systems Design, SBCCI 2019;-
2019;An SVM-based hardware accelerator for onboard classification of hyperspectral images;Proceedings - 32nd Symposium on Integrated Circuits and Systems Design, SBCCI 2019;-
2019;Privacy in the Internet of Things: A Study to Protect User's Data in LPR Systems Using Blockchain;2019 17th International Conference on Privacy, Security and Trust, PST 2019 - Proceedings;-
2019;Analyzing the error propagation in a parameterizable network-on-chip router;LATS 2019 - 20th IEEE Latin American Test Symposium;-
2019;Data transmission performance analysis with smart grid protocol and cryptography algorithms;2018 13th IEEE International Conference on Industry Applications, INDUSCON 2018 - Proceedings;-
2019;Internet of things: Concepts, architectures and technologies;2018 13th IEEE International Conference on Industry Applications, INDUSCON 2018 - Proceedings;-
2019;A low-cost hardware accelerator for CCSDS 123 predictor in FPGA;Proceedings - IEEE International Symposium on Circuits and Systems;02714310
2018;A Hardware Accelerator for Anisotropic Diffusion Filtering in FPGA;Proceedings - IEEE International Symposium on Circuits and Systems;02714310
2018;Analysis of LEON3 systems integration for a Network-on-Chip;2018 IEEE 19th Latin-American Test Symposium, LATS 2018;-
2017;RedScarf: A User-Friendly Multi-Platform Network-on-Chip Simulator;Brazilian Symposium on Computing System Engineering, SBESC;23247886
2017;Deadline, Energy and Buffer-Aware Task Mapping Optimization in NoC-Based SoCs Using Genetic Algorithms;Brazilian Symposium on Computing System Engineering, SBESC;23247886
2017;Confidentiality and Authenticity in a Platform Based on Network-on-Chip;Brazilian Symposium on Computing System Engineering, SBESC;23247886
2017;Mechanisms to Provide Fault Tolerance to a Network-on-Chip;IEEE Latin America Transactions;15480992
