year;title;publication_name;issn
2020;Dmrvr: Dynamic milk-run vehicle routing solution using fog-based vehicular ad hoc networks;Electronics (Switzerland);-
2020;Multi-factor authentication for shibboleth identity providers;Journal of Internet Services and Applications;18674828
2020;A Mobile Crowdsensing-Based Solution for Online Bus Tracking;Proceedings - 2020 46th Latin American Computing Conference, CLEI 2020;-
2019;Providing a dynamic milk-run vehicle routing using vehicular ad hoc networks;DIVANet 2019 - Proceedings of the 9th ACM Symposium on Design and Analysis of Intelligent Vehicular Networks and Applications;-
2019;SM4VO: A security management mechanism for virtual organizations;2019 9th Latin-American Symposium on Dependable Computing, LADC 2019 - Proceedings;-
2019;Message Industrial Track Chairs: LADC 2019;2019 9th Latin-American Symposium on Dependable Computing, LADC 2019 - Proceedings;-
2018;"The computer for the 21st century: present security &amp; privacy challenges";Journal of Internet Services and Applications;18674828
2018;A Mobile Identity Management System to Enhance the Brazilian Electronic Government;IEEE Latin America Transactions;-
2018;A National Mobile Identity Management Strategy for Electronic Government Services;Proceedings - 17th IEEE International Conference on Trust, Security and Privacy in Computing and Communications and 12th IEEE International Conference on Big Data Science and Engineering, Trustcom/BigDataSE 2018;-
2017;Providing a cloud-based smart meter solution to control and monitor electrical quantities of industrial machines;International Conference on Wireless and Mobile Computing, Networking and Communications;21619646
2017;Reliable data dissemination protocol for VANET traffic safety applications;Ad Hoc Networks;15708705
2017;National strategy of identity management to boost Brazilian electronic government program;Proceedings of the 2016 42nd Latin American Computing Conference, CLEI 2016;-
